         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
  [300.0  500.0],0.649,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],1.775,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],-0.811,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],0.293,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],-0.055,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],-0.183,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],-1.227,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],-2.651,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],0.318,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-1.052,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],0.32,3,          FZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],3.714,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.929,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],3.19,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],-0.955,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],4.028,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],1.007,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],3.872,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],2.448,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],4.108,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],2.363,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],3.028,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],-0.834,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-0.5,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],1.288,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],-0.14,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],-2.451,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-5.93,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],-1.884,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
  [300.0  500.0],3.975,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
  [300.0  500.0],3.617,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
  [300.0  500.0],2.468,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
  [300.0  500.0],3.824,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
  [300.0  500.0],0.689,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
  [300.0  500.0],1.204,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
  [300.0  500.0],4.749,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
  [300.0  500.0],0.277,4,          CZ,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
